canonical_id,display_name,search_query,search_aliases
cape_cod_chips,Cape Cod potato chips,Cape Cod kettle chips 8 oz,Cape Cod|Cape Cod chips|Cape Cod Kettle Chips|Cape Cod potato chips
smartfood_popcorn,Smartfood popcorn,Smartfood white cheddar popcorn,Smartfood|Smartfood Popcorn|Smartfood White Cheddar
pringles,Pringles,Pringles original,Pringles|Pringles Chips|Pringles potato crisps
snyders_pretzels,Snyder's pretzels,Snyder's pretzels,Snyder's|Snyder's Pretzels|Snyders Pretzels|Snyder's of Hanover
frito_lay_multipack_chips,Frito-Lay variety pack,Frito Lay variety pack 18 count,Frito-Lay Variety Pack|Frito Lay Variety Pack|Frito-Lay multipack
pop_tarts,Pop-Tarts,Kellogg's Pop-Tarts,Pop-Tarts|Kellogg's Pop-Tarts|Pop Tarts
kellogg_breakfast_bars,Nutri-Grain & Special K bars,Nutri-Grain bars,Nutri-Grain|Nutri Grain|Special K Bars|Kellogg's Nutri-Grain
betty_crocker_fruit_snacks,Gushers / Fruit by the Foot,Betty Crocker fruit snacks Gushers,Betty Crocker Fruit Snacks|Gushers|Fruit by the Foot|Fruit Roll-Ups
waterloo_sparkling_water,Waterloo sparkling water,Waterloo sparkling water 12 pack,Waterloo|Waterloo Sparkling Water
bell_peppers,Bell peppers,green bell pepper,Bell Pepper|Bell Peppers|Green Bell Peppers|Yellow Bell Pepper|Red Bell Pepper
chicken_wings_per_lb,Chicken wings,chicken party wings,Chicken Party Wings|Chicken Wings|party wings|fresh chicken wings
beef_short_ribs_per_lb,Beef short ribs,beef chuck short ribs,Beef Chuck Short Ribs|Beef Short Ribs|Flanken Style Short Ribs|short ribs
pork_spare_ribs_per_lb,Pork spare ribs,pork spareribs,Pork Spareribs|spare ribs|St. Louis Style Pork Ribs|pork back ribs
oscar_mayer_hot_dogs,Oscar Mayer hot dogs,Oscar Mayer hot dogs,Oscar Mayer Hot Dogs|Oscar Mayer Beef Franks|Oscar Mayer Franks
cake_mix,Cake mix,Pillsbury cake mix,Cake Mix|Pillsbury Cake Mix|Betty Crocker Cake Mix|Duncan Hines Cake Mix
