split_item_id,raw_offer_id,flyer_id,parent_company,banner,region,week_start,week_end,source_file,page_number,offer_index_on_page,raw_offer_text,raw_product_text,split_product_text,split_status,split_source,split_confidence,needs_human_grounding,group_offer_text,review_reasons,advertised_price,package_text,package_size_min,package_size_max,package_unit,price_basis,promo_text,promo_type_guess,availability_type_guess,price_role_guess,layout_type
a9924eec8ffd,fa26158b2861,Safeway_2026-06-17_safeway_6-17_-_6-23,Albertsons,Safeway,bay_area,2026-06-17,2026-06-23,safeway 6-17 - 6-23.pdf,1,1,"Personal Seedless Watermelon, Cantaloupe or Honeydew BUY 1 GET 1 FREE EQUAL OR LESSER VALUE MEMBER PRICE","Personal Seedless Watermelon, Cantaloupe or Honeydew","Personal Seedless Watermelon, Cantaloupe",text_explicit_split,text_explicit,0.85,false,,missing_or_unclear_price|missing_package_size,,,,,,bogo,BUY 1 GET 1 FREE EQUAL OR LESSER VALUE MEMBER PRICE,buy_x_get_y,full_week,promo_price,front_page_hero
d0eff53d45bf,fa26158b2861,Safeway_2026-06-17_safeway_6-17_-_6-23,Albertsons,Safeway,bay_area,2026-06-17,2026-06-23,safeway 6-17 - 6-23.pdf,1,1,"Personal Seedless Watermelon, Cantaloupe or Honeydew BUY 1 GET 1 FREE EQUAL OR LESSER VALUE MEMBER PRICE","Personal Seedless Watermelon, Cantaloupe or Honeydew",Honeydew,text_explicit_split,text_explicit,0.85,false,,missing_or_unclear_price|missing_package_size,,,,,,bogo,BUY 1 GET 1 FREE EQUAL OR LESSER VALUE MEMBER PRICE,buy_x_get_y,full_week,promo_price,front_page_hero
d69ee833b842,5db2162b9ac6,Safeway_2026-06-17_safeway_6-17_-_6-23,Albertsons,Safeway,bay_area,2026-06-17,2026-06-23,safeway 6-17 - 6-23.pdf,1,2,Taylor Farms Chopped Salad Kit or Fresh Express Chopped Salad Kit 9.8-13.1 oz 3.99 EA MEMBER PRICE,Taylor Farms Chopped Salad Kit or Fresh Express Chopped Salad Kit,Taylor Farms Chopped Salad Kit,text_explicit_split,text_explicit,0.85,false,,,3.99,9.8-13.1 oz,9.8,13.1,oz,each,MEMBER PRICE,member_price,full_week,promo_price,front_page_hero
5b33d9fb4156,5db2162b9ac6,Safeway_2026-06-17_safeway_6-17_-_6-23,Albertsons,Safeway,bay_area,2026-06-17,2026-06-23,safeway 6-17 - 6-23.pdf,1,2,Taylor Farms Chopped Salad Kit or Fresh Express Chopped Salad Kit 9.8-13.1 oz 3.99 EA MEMBER PRICE,Taylor Farms Chopped Salad Kit or Fresh Express Chopped Salad Kit,Fresh Express Chopped Salad Kit,text_explicit_split,text_explicit,0.85,false,,,3.99,9.8-13.1 oz,9.8,13.1,oz,each,MEMBER PRICE,member_price,full_week,promo_price,front_page_hero
4c3c1c808afb,6e8b81da7f7b,Safeway_2026-06-17_safeway_6-17_-_6-23,Albertsons,Safeway,bay_area,2026-06-17,2026-06-23,safeway 6-17 - 6-23.pdf,1,3,Red Cherries 2.99 LB MEMBER PRICE,Red Cherries,Red Cherries,single_product,not_split,0.8,false,,missing_package_size,2.99,,,,,per_lb,MEMBER PRICE,member_price,full_week,promo_price,front_page_hero
9dc8cbd16dec,dc8fbc3f59c3,Safeway_2026-06-17_safeway_6-17_-_6-23,Albertsons,Safeway,bay_area,2026-06-17,2026-06-23,safeway 6-17 - 6-23.pdf,1,4,Sweet Corn 8/$4 FOR 8 MEMBER PRICE,Sweet Corn,Sweet Corn,single_product,not_split,0.8,false,,,4.0,8 for,8.0,8.0,count,multi_buy,MEMBER PRICE,multi_buy,full_week,promo_price,points_promo_block
f34015e3d084,0c3f03bdb920,Safeway_2026-06-17_safeway_6-17_-_6-23,Albertsons,Safeway,bay_area,2026-06-17,2026-06-23,safeway 6-17 - 6-23.pdf,1,5,USDA Choice Boneless Beef Tri Tip Roast Untrimmed Twin Pack 5.99 LB MEMBER PRICE,USDA Choice Boneless Beef Tri Tip Roast Untrimmed Twin Pack,USDA Choice Boneless Beef Tri Tip Roast Untrimmed Twin Pack,single_product,not_split,0.8,false,,missing_package_size,5.99,,,,,per_lb,MEMBER PRICE,member_price,full_week,promo_price,front_page_hero
21cc7bdf527e,7d14e108cc4a,Safeway_2026-06-17_safeway_6-17_-_6-23,Albertsons,Safeway,bay_area,2026-06-17,2026-06-23,safeway 6-17 - 6-23.pdf,1,6,Lobster Tail 3-4 oz Previously Frozen 5.99 EA MEMBER PRICE,Lobster Tail,Lobster Tail,single_product,not_split,0.8,false,,,5.99,3-4 oz,3.0,4.0,oz,each,MEMBER PRICE,member_price,full_week,promo_price,front_page_hero
0732af95544f,939d1251b073,Safeway_2026-06-17_safeway_6-17_-_6-23,Albertsons,Safeway,bay_area,2026-06-17,2026-06-23,safeway 6-17 - 6-23.pdf,1,7,Signature SELECT 90% Lean Ground Beef VALUE PACK 6.99 LB MEMBER PRICE,Signature SELECT 90% Lean Ground Beef,Signature SELECT 90% Lean Ground Beef,single_product,not_split,0.8,false,,missing_package_size,6.99,,,,,per_lb,MEMBER PRICE,member_price,full_week,promo_price,front_page_hero
1ea60c4acafb,149f59bc3098,Safeway_2026-06-17_safeway_6-17_-_6-23,Albertsons,Safeway,bay_area,2026-06-17,2026-06-23,safeway 6-17 - 6-23.pdf,1,8,New York Style Sausage Italian Sausage or Haywood Sausage Haywood National Hot Dogs or Polish Sausage 4.99 MEMBER PACK,New York Style Sausage Italian Sausage or Haywood Sausage Haywood National Hot Dogs or Polish Sausage,New York Style Sausage Italian Sausage,text_explicit_split,text_explicit,0.85,false,,missing_package_size,4.99,,,,,per_pack,MEMBER PACK,member_price,full_week,promo_price,points_promo_block
