canonical_id,display_name,search_query,content_theme,candidate_rank,product_name,price,pid,upc,size
ben_jerrys_ice_cream,Ben & Jerry's ice cream,Ben & Jerry's pint,price_tracker_baseline,1,HERSHEY'S Sliced Strawberries Covered in Milk Chocolate - 8 Oz,7.99,970692247,0081006772751,OUNCE
ben_jerrys_ice_cream,Ben & Jerry's ice cream,Ben & Jerry's pint,price_tracker_baseline,2,REESE'S Banana Slices in Milk Chocolate and REESE'S Peanut Butter Chips - 8 Oz,7.99,970692250,0081006772798,OUNCE
ben_jerrys_ice_cream,Ben & Jerry's ice cream,Ben & Jerry's pint,price_tracker_baseline,3,HERSHEY'S Strawberries in Cookies ‘N’ Crème - 8 Oz,7.99,970692241,0081006772749,OUNCE
ben_jerrys_ice_cream,Ben & Jerry's ice cream,Ben & Jerry's pint,price_tracker_baseline,4,Haagen-Dazs Vanilla Bean Ice Cream - 14 Fl. Oz.,6.49,142010463,0007457065057,FL.OZ
ben_jerrys_ice_cream,Ben & Jerry's ice cream,Ben & Jerry's pint,price_tracker_baseline,5,Ben & Jerry's Half Baked Ice Cream Pint - 16 Oz,4.99,142010024,0007684010132,QUART
berries_6oz,Blueberries / raspberries / blackberries,blueberries 6 oz 6 oz clamshells,price_tracker_baseline,1,Blueberries Prepacked - 6 Oz,3.99,184070083,0085308500301,OUNCE
berries_6oz,Blueberries / raspberries / blackberries,blueberries 6 oz 6 oz clamshells,price_tracker_baseline,2,O Organics Blueberries Prepacked - 6 Oz,4.99,184700295,0085308500308,OUNCE
berries_6oz,Blueberries / raspberries / blackberries,blueberries 6 oz 6 oz clamshells,price_tracker_baseline,3,Jumbo Blueberries Prepacked - 9.8 Oz,7.99,960314742,0085308500347,OUNCE
berries_6oz,Blueberries / raspberries / blackberries,blueberries 6 oz 6 oz clamshells,price_tracker_baseline,4,Signature SELECT Blueberries Whole Unsweetened - 12 Oz,3.49,960312805,0002113009950,OUNCE
berries_6oz,Blueberries / raspberries / blackberries,blueberries 6 oz 6 oz clamshells,price_tracker_baseline,5,Signature SELECT Blueberries Wild Whole Family Size - 40 Oz,13.99,960524076,0002113019919,OUNCE
breyers_ice_cream,Breyers ice cream,Breyers,price_tracker_baseline,1,Protein Pints High Protein Salted Caramel Ice Cream - 16 Oz,8.99,971322828,0085006736612,OUNCE
breyers_ice_cream,Breyers ice cream,Breyers,price_tracker_baseline,2,Protein Pints Ice Cream 30g Protein Cookie Dough - 16 OZ,8.99,971286806,0085006736601,OUNCE
breyers_ice_cream,Breyers ice cream,Breyers,price_tracker_baseline,3,Protein Pints High Protein Cookies & Cream Ice Cream - 16 Oz,8.99,971311849,0085006736602,OUNCE
breyers_ice_cream,Breyers ice cream,Breyers,price_tracker_baseline,4,Protein Pints High Protein Coffee Ice Cream - 16 Oz,8.99,971311837,0085006736603,OUNCE
breyers_ice_cream,Breyers ice cream,Breyers,price_tracker_baseline,5,Breyers Classics Natural Vanilla Ice Cream - 48 Oz,5.99,142100392,0007756725423,QUART
butter_16oz,Butter,Lucerne butter 16 oz 16 oz sticks / quarters; normalize to 16 oz,price_tracker_baseline,1,Lucerne Unsalted Sweet Cream Butter Quarters - 16 Oz,3.99,138250170,0002113008278,OUNCE
butter_16oz,Butter,Lucerne butter 16 oz 16 oz sticks / quarters; normalize to 16 oz,price_tracker_baseline,2,Lucerne Butter Salted Sweet Cream 4 Quarters - 16 Oz,3.99,138250149,0002113008277,OUNCE
