family_id,store,display_name,search_query,status,product_name,product_id,upc,size,raw_price,normalized_price,unit,url,confidence,timestamp,notes
ben_jerrys_ice_cream,safeway_bay_area,Ben & Jerry's ice cream,Ben & Jerry's pint,needs_review,HERSHEY'S Sliced Strawberries Covered in Milk Chocolate - 8 Oz,970692247,0081006772751,OUNCE,6.99,6.99,,,low,2026-07-06T00:21:04Z,rank-1 not Ben & Jerry's
berries_6oz,safeway_bay_area,Blueberries / raspberries / blackberries,blueberries 6 oz 6 oz clamshells,matched,Blueberries Prepacked - 6 Oz,184070083,0081204900640,OUNCE,4.99,4.99,,,high,2026-07-06T00:21:04Z,
breyers_ice_cream,safeway_bay_area,Breyers ice cream,Breyers,matched,Protein Pints High Protein Salted Caramel Ice Cream - 16 Oz,971322828,0085006736612,OUNCE,7.99,7.99,,,high,2026-07-06T00:21:04Z,
butter_16oz,safeway_bay_area,Butter,Lucerne butter 16 oz 16 oz sticks / quarters; normalize to 16 oz,matched,Lucerne Unsalted Sweet Cream Butter Quarters - 16 Oz,138250170,0002113008278,OUNCE,5.99,5.99,,,high,2026-07-06T00:21:04Z,
cheetos_party_size,safeway_bay_area,Cheetos Party Size,Cheetos Party Size 15 oz bags,matched,CHEETOS Snacks Cheese Flavored Crunchy Party Size - 15 Oz,960543041,0002840031409,OUNCE,5.99,5.99,,,high,2026-07-06T00:21:04Z,
cheez_it_crackers,safeway_bay_area,Cheez-It crackers,Cheez-It Original 6.5-12.4 oz boxes/bags,matched,Cheez-It DUOZ Baked Snack Crackers Sharp Cheddar and Parmesan Lunch Snacks - 12.4 Oz,960083085,0002410078895,OUNCE,5.49,5.49,,,high,2026-07-06T00:21:04Z,
cherries_per_lb,safeway_bay_area,Cherries,red cherries,matched,Red Cherries - 1.75 Lb,184140091,0048414009101,LB,10.48,10.48,,,high,2026-07-06T00:21:04Z,
chicken_breast_per_lb,safeway_bay_area,Chicken breast,boneless skinless chicken breast,matched,Foster Farms Free Range Boneless Skinless Chicken Breast Fillets - 2.25 Lb,960131632,0026582900000,LB,20.23,20.23,,,high,2026-07-06T00:21:04Z,
chicken_thigh_per_lb,safeway_bay_area,Chicken thighs,boneless skinless chicken thighs,matched,Signature Select Chicken Thigh Boneless Skinless Value Pack - 3 lb,960139991,0020786700000,LB,8.97,8.97,,,high,2026-07-06T00:21:04Z,
chips_ahoy,safeway_bay_area,Chips Ahoy cookies,Chips Ahoy Original 9.5-13 oz packages,matched,Chips Ahoy! Original Chocolate Chip Cookies - 13 Oz,960071578,0004400003219,OUNCE,5.99,5.99,,,high,2026-07-06T00:21:04Z,
clif_bars,safeway_bay_area,Clif bars,Clif bars,matched,CLIF BAR White Chocolate Macadamia Nut Energy Protein Bars - 5 Count,970839026,0072225206875,OUNCE,7.99,7.99,,,high,2026-07-06T00:21:04Z,
dr_pepper_12packs,safeway_bay_area,Dr Pepper,Dr Pepper 12-pack,matched,Dr Pepper Soda Fridge Pack - 12-12 Fl. Oz.,108051305,0007800008216,FL.OZ,14.43,14.43,,,high,2026-07-06T00:21:04Z,
