family_id,legacy_canonical_id,grocery_feed,costco_warehouse,status,costco_item_number,costco_product_name,costco_price,confidence,notes
cheetos_party_size,,safeway_bay_area,san_francisco,no_metadata,,,,low,No CanonicalPackageMeta. Needs scripts/price_comparison/canonical_metadata.py entry
cheetos_party_size,,vons_albertsons_socal,tustin,no_metadata,,,,low,No CanonicalPackageMeta. Needs scripts/price_comparison/canonical_metadata.py entry
lays_potato_chips_regular,,safeway_bay_area,san_francisco,no_metadata,,,,low,No CanonicalPackageMeta. Needs scripts/price_comparison/canonical_metadata.py entry
lays_potato_chips_regular,,vons_albertsons_socal,tustin,no_metadata,,,,low,No CanonicalPackageMeta. Needs scripts/price_comparison/canonical_metadata.py entry
lays_kettle_cooked,,safeway_bay_area,san_francisco,no_metadata,,,,low,No CanonicalPackageMeta. Needs scripts/price_comparison/canonical_metadata.py entry
lays_kettle_cooked,,vons_albertsons_socal,tustin,no_metadata,,,,low,No CanonicalPackageMeta. Needs scripts/price_comparison/canonical_metadata.py entry
ruffles_regular_bags,,safeway_bay_area,san_francisco,no_metadata,,,,low,No CanonicalPackageMeta. Needs scripts/price_comparison/canonical_metadata.py entry
ruffles_regular_bags,,vons_albertsons_socal,tustin,no_metadata,,,,low,No CanonicalPackageMeta. Needs scripts/price_comparison/canonical_metadata.py entry
sun_chips_7oz,,safeway_bay_area,san_francisco,no_metadata,,,,low,No CanonicalPackageMeta. Needs scripts/price_comparison/canonical_metadata.py entry
sun_chips_7oz,,vons_albertsons_socal,tustin,no_metadata,,,,low,No CanonicalPackageMeta. Needs scripts/price_comparison/canonical_metadata.py entry
tostitos_tortilla_chips,mission_tortilla_chips,safeway_bay_area,san_francisco,no_results,,,,low,No confident Costco match in warehouse catalog
tostitos_tortilla_chips,mission_tortilla_chips,vons_albertsons_socal,tustin,no_results,,,,low,No confident Costco match in warehouse catalog
simply_snacks,,safeway_bay_area,san_francisco,no_metadata,,,,low,No CanonicalPackageMeta. Needs scripts/price_comparison/canonical_metadata.py entry
simply_snacks,,vons_albertsons_socal,tustin,no_metadata,,,,low,No CanonicalPackageMeta. Needs scripts/price_comparison/canonical_metadata.py entry
simply_party_size,,safeway_bay_area,san_francisco,no_metadata,,,,low,No CanonicalPackageMeta. Needs scripts/price_comparison/canonical_metadata.py entry
simply_party_size,,vons_albertsons_socal,tustin,no_metadata,,,,low,No CanonicalPackageMeta. Needs scripts/price_comparison/canonical_metadata.py entry
ritz_crackers,ritz_crackers_snacks,safeway_bay_area,san_francisco,no_metadata,,,,low,No CanonicalPackageMeta. Needs scripts/price_comparison/canonical_metadata.py entry
ritz_crackers,ritz_crackers_snacks,vons_albertsons_socal,tustin,no_metadata,,,,low,No CanonicalPackageMeta. Needs scripts/price_comparison/canonical_metadata.py entry
ritz_toasted_chips,,safeway_bay_area,san_francisco,no_metadata,,,,low,No CanonicalPackageMeta. Needs scripts/price_comparison/canonical_metadata.py entry
ritz_toasted_chips,,vons_albertsons_socal,tustin,no_metadata,,,,low,No CanonicalPackageMeta. Needs scripts/price_comparison/canonical_metadata.py entry
nabisco_snack_crackers,,safeway_bay_area,san_francisco,no_metadata,,,,low,No CanonicalPackageMeta. Needs scripts/price_comparison/canonical_metadata.py entry
nabisco_snack_crackers,,vons_albertsons_socal,tustin,no_metadata,,,,low,No CanonicalPackageMeta. Needs scripts/price_comparison/canonical_metadata.py entry
cheez_it_crackers,,safeway_bay_area,san_francisco,no_metadata,,,,low,No CanonicalPackageMeta. Needs scripts/price_comparison/canonical_metadata.py entry
cheez_it_crackers,,vons_albertsons_socal,tustin,no_metadata,,,,low,No CanonicalPackageMeta. Needs scripts/price_comparison/canonical_metadata.py entry
chips_ahoy,,safeway_bay_area,san_francisco,no_metadata,,,,low,No CanonicalPackageMeta. Needs scripts/price_comparison/canonical_metadata.py entry
chips_ahoy,,vons_albertsons_socal,tustin,no_metadata,,,,low,No CanonicalPackageMeta. Needs scripts/price_comparison/canonical_metadata.py entry
