split_item_id,raw_offer_id,flyer_id,parent_company,banner,region,week_start,week_end,source_file,page_number,offer_index_on_page,raw_offer_text,raw_product_text,split_product_text,split_status,split_source,split_confidence,needs_human_grounding,group_offer_text,review_reasons,advertised_price,package_text,package_size_min,package_size_max,package_unit,price_basis,promo_text,promo_type_guess,availability_type_guess,price_role_guess,layout_type
5651f6180b13,c7bc90ff483c,Safeway_2026-07-01_safeway_7-1_-_7-7,Albertsons,Safeway,bay_area,2026-07-01,2026-07-07,safeway 7-1 - 7-7.pdf,1,0,Signature SELECT VALUE PACK VALUE PACK $2.99 LB MEMBER PRICE,Signature SELECT VALUE PACK,Signature SELECT VALUE PACK,single_product,not_split,0.8,false,,missing_package_size|first_pass_crop_disagreement|crop_verification_override|crop_override_product_name,2.99,VALUE PACK,,,,per_lb,MEMBER PRICE,member_price,full_week,promo_price,front_page_hero
8534657d16b1,a930b3fa09e4,Safeway_2026-07-01_safeway_7-1_-_7-7,Albertsons,Safeway,bay_area,2026-07-01,2026-07-07,safeway 7-1 - 7-7.pdf,1,1,"Signature SELECT Extra Meaty Pork Back Ribs, St. Louis Style Spareribs or Pork Loin Back Ribs VALUE PACK $3.99 LB MEMBER PRICE","Signature SELECT Extra Meaty Pork Back Ribs, St. Louis Style Spareribs or Pork Loin Back Ribs","Signature SELECT Extra Meaty Pork Back Ribs, St. Louis Style Spareribs",text_explicit_split,text_explicit,0.85,false,,missing_package_size,3.99,VALUE PACK,,,,per_lb,MEMBER PRICE,member_price,full_week,promo_price,front_page_hero
43a21d9a9cd3,a930b3fa09e4,Safeway_2026-07-01_safeway_7-1_-_7-7,Albertsons,Safeway,bay_area,2026-07-01,2026-07-07,safeway 7-1 - 7-7.pdf,1,1,"Signature SELECT Extra Meaty Pork Back Ribs, St. Louis Style Spareribs or Pork Loin Back Ribs VALUE PACK $3.99 LB MEMBER PRICE","Signature SELECT Extra Meaty Pork Back Ribs, St. Louis Style Spareribs or Pork Loin Back Ribs",Pork Loin Back Ribs,text_explicit_split,text_explicit,0.85,false,,missing_package_size,3.99,VALUE PACK,,,,per_lb,MEMBER PRICE,member_price,full_week,promo_price,front_page_hero
678773088b26,8f370d9a6b41,Safeway_2026-07-01_safeway_7-1_-_7-7,Albertsons,Safeway,bay_area,2026-07-01,2026-07-07,safeway 7-1 - 7-7.pdf,1,2,Signature SELECT 80% Lean Ground Beef Mega Pack 6 lbs. or more. $4.99 LB MEMBER PRICE,Signature SELECT 80% Lean Ground Beef Mega Pack,Signature SELECT 80% Lean Ground Beef Mega Pack 6 lbs.,text_explicit_split,text_explicit,0.85,false,,,4.99,6 lbs. or more,6.0,,lbs,per_lb,MEMBER PRICE,member_price,full_week,promo_price,front_page_hero
fa9fddcc24e2,8f370d9a6b41,Safeway_2026-07-01_safeway_7-1_-_7-7,Albertsons,Safeway,bay_area,2026-07-01,2026-07-07,safeway 7-1 - 7-7.pdf,1,2,Signature SELECT 80% Lean Ground Beef Mega Pack 6 lbs. or more. $4.99 LB MEMBER PRICE,Signature SELECT 80% Lean Ground Beef Mega Pack,more. $4.99 LB MEMBER PRICE,text_explicit_split,text_explicit,0.85,false,,,4.99,6 lbs. or more,6.0,,lbs,per_lb,MEMBER PRICE,member_price,full_week,promo_price,front_page_hero
7177a0e8251f,8b1ef943f140,Safeway_2026-07-01_safeway_7-1_-_7-7,Albertsons,Safeway,bay_area,2026-07-01,2026-07-07,safeway 7-1 - 7-7.pdf,1,3,Sweet Corn Member Price 8/$1 Must buy 8 items.,Sweet Corn,Sweet Corn,single_product,not_split,0.8,false,,crop_tile_mismatch,0.125,1 ea.,1.0,1.0,ea,multi_buy,Must buy 8 items.,multi_buy,full_week,promo_price,front_page_hero
6df27a04e172,0f34d8ae81cf,Safeway_2026-07-01_safeway_7-1_-_7-7,Albertsons,Safeway,bay_area,2026-07-01,2026-07-07,safeway 7-1 - 7-7.pdf,1,4,Hass Avocado or Mango Member Price 4 for $5,Hass Avocado or Mango,Hass Avocado,text_explicit_split,text_explicit,0.85,false,,missing_package_size,1.25,,,,,multi_buy,,multi_buy,full_week,promo_price,front_page_hero
403a28cc37c4,0f34d8ae81cf,Safeway_2026-07-01_safeway_7-1_-_7-7,Albertsons,Safeway,bay_area,2026-07-01,2026-07-07,safeway 7-1 - 7-7.pdf,1,4,Hass Avocado or Mango Member Price 4 for $5,Hass Avocado or Mango,Mango,text_explicit_split,text_explicit,0.85,false,,missing_package_size,1.25,,,,,multi_buy,,multi_buy,full_week,promo_price,front_page_hero
331ff57e0393,4239d43b42c4,Safeway_2026-07-01_safeway_7-1_-_7-7,Albertsons,Safeway,bay_area,2026-07-01,2026-07-07,safeway 7-1 - 7-7.pdf,1,5,8-Piece Fried or Roasted Chicken $6.99 EA MEMBER PRICE,8-Piece Fried or Roasted Chicken,8-Piece Fried,text_explicit_split,text_explicit,0.85,false,,,6.99,8-Piece,8.0,8.0,count,each,MEMBER PRICE,member_price,full_week,promo_price,front_page_hero
ab79b27f0e67,4239d43b42c4,Safeway_2026-07-01_safeway_7-1_-_7-7,Albertsons,Safeway,bay_area,2026-07-01,2026-07-07,safeway 7-1 - 7-7.pdf,1,5,8-Piece Fried or Roasted Chicken $6.99 EA MEMBER PRICE,8-Piece Fried or Roasted Chicken,Roasted Chicken,text_explicit_split,text_explicit,0.85,false,,,6.99,8-Piece,8.0,8.0,count,each,MEMBER PRICE,member_price,full_week,promo_price,front_page_hero
