ad_item_name,raw_ad_text,page_number,notes
Signature SELECT 80% Lean Ground Beef Mega Pack 6 lbs.,Signature SELECT 80% Lean Ground Beef Mega Pack 6 lbs. or more. $4.99 LB MEMBER PRICE,1,food-like ad text with no watchlist match
more. $4.99 LB MEMBER PRICE,Signature SELECT 80% Lean Ground Beef Mega Pack 6 lbs. or more. $4.99 LB MEMBER PRICE,1,food-like ad text with no watchlist match
Sweet Corn,Sweet Corn Member Price 8/$1 Must buy 8 items.,1,food-like ad text with no watchlist match
Hass Avocado,Hass Avocado or Mango Member Price 4 for $5,1,food-like ad text with no watchlist match
Mango,Hass Avocado or Mango Member Price 4 for $5,1,food-like ad text with no watchlist match
8-Piece Fried,8-Piece Fried or Roasted Chicken $6.99 EA MEMBER PRICE,1,food-like ad text with no watchlist match
Roasted Chicken,8-Piece Fried or Roasted Chicken $6.99 EA MEMBER PRICE,1,food-like ad text with no watchlist match
"USDA Choice Beef Ribeye Steak, Bone-In","USDA Choice Beef Ribeye Steak, Bone-In MEGA PACK $9.99 LB MEMBER PRICE",1,food-like ad text with no watchlist match
"Waterfront BISTRO Jumbo Raw Shrimp 16-20 ct., 2 lb. bag, Wild Caught, tail-on, previously frozen","Waterfront BISTRO Jumbo Raw Shrimp 16-20 ct., 2 lb. bag, Wild Caught, tail-on, previously frozen $5.99 LB MEMBER PRICE",1,food-like ad text with no watchlist match
Lucerne Sliced,Lucerne Sliced or Chunk Cheese 6-8 oz. $1.89 MEMBER PRICE,1,food-like ad text with no watchlist match
Chunk Cheese,Lucerne Sliced or Chunk Cheese 6-8 oz. $1.89 MEMBER PRICE,1,food-like ad text with no watchlist match
"Simply Orange Juice, Coffee mate Creamer","Simply Orange Juice, Coffee mate Creamer or Califia Farms Almondmilk, Oatmilk or Creamer 32-52 oz. $2.99 MEMBER PRICE",1,food-like ad text with no watchlist match
"Califia Farms Almondmilk, Oatmilk","Simply Orange Juice, Coffee mate Creamer or Califia Farms Almondmilk, Oatmilk or Creamer 32-52 oz. $2.99 MEMBER PRICE",1,food-like ad text with no watchlist match
Creamer,"Simply Orange Juice, Coffee mate Creamer or Califia Farms Almondmilk, Oatmilk or Creamer 32-52 oz. $2.99 MEMBER PRICE",1,food-like ad text with no watchlist match
Challenge Butter,Challenge Butter or Danish Creamery Butter 15-16 oz. $2.99 MEMBER PRICE,1,food-like ad text with no watchlist match
Danish Creamery Butter,Challenge Butter or Danish Creamery Butter 15-16 oz. $2.99 MEMBER PRICE,1,food-like ad text with no watchlist match
Dreyer's Ice Cream,Dreyer's 1.5-1.6 qt. Ice Cream or Outshine Fruit Bars 6-12 ct. $2.99 MEMBER PRICE,1,food-like ad text with no watchlist match
Outshine Fruit Bars,Dreyer's 1.5-1.6 qt. Ice Cream or Outshine Fruit Bars 6-12 ct. $2.99 MEMBER PRICE,1,food-like ad text with no watchlist match
Ball Park,Ball Park or National Beef Franks 15 oz. Selected varieties. BUY 1 GET 1 FREE,1,food-like ad text with no watchlist match
National Beef Franks 15 oz.,Ball Park or National Beef Franks 15 oz. Selected varieties. BUY 1 GET 1 FREE,1,food-like ad text with no watchlist match
Fresh Baked Apple Pie,Fresh Baked Apple Pie 9.99 Member Price,2,food-like ad text with no watchlist match
USDA Choice Boneless Beef Tri Tip Roast Value Pack,USDA Choice Boneless Beef Tri Tip Roast Value Pack 12.99 lb Member Price,2,food-like ad text with no watchlist match
Signature Gourmet Beef Burger Patties Selected varieties,Signature Gourmet Beef Burger Patties Selected varieties 9.99 Member Price,2,food-like ad text with no watchlist match
Miami Beef Smashed Burgers,Miami Beef Smashed Burgers 9.99 Member Price,2,food-like ad text with no watchlist match
Shirley Steaver Shrimp Scampi,Shirley Steaver Shrimp Scampi or Shrimp Alfredo 5.55 Member Price,2,food-like ad text with no watchlist match
