ad_item_name,raw_ad_text,page_number,notes
Fresh Atlantic Salmon Fillets Farm Raised,Fresh Atlantic Salmon Fillets Farm Raised 7.97 lb,1,food-like ad text with no watchlist match
Sweet Bi-Color Corn LOCAL!,Sweet Bi-Color Corn LOCAL! 5 for $1 LIMIT 10 5 for $1,1,food-like ad text with no watchlist match
Haagen-Dazs Ice Cream or Bars 14 oz. or 3 ct. Selected varieties,Haagen-Dazs Ice Cream or Bars 14 oz. or 3 ct. Selected varieties 2.77 ea. when you buy 2 or more,1,food-like ad text with no watchlist match
"Lay's Potato Chips, Kettle Cooked Chips","Lay's Potato Chips, Kettle Cooked Chips or Poppables 4.75-8 oz. BUY 2 GET 3 FREE",1,food-like ad text with no watchlist match
Poppables 4.75-8 oz.,"Lay's Potato Chips, Kettle Cooked Chips or Poppables 4.75-8 oz. BUY 2 GET 3 FREE",1,food-like ad text with no watchlist match
Signature SELECT Ice Cream 48 oz.,Signature SELECT Ice Cream 48 oz. 2.77,1,food-like ad text with no watchlist match
8 Piece Fried,8 Piece Fried or Baked Chicken 7.99,1,food-like ad text with no watchlist match
Baked Chicken,8 Piece Fried or Baked Chicken 7.99,1,food-like ad text with no watchlist match
Select Nabisco Snack Crackers,Select Nabisco Snack Crackers 3.5-8.5 oz. 3.99 ea,2,food-like ad text with no watchlist match
Signature SELECT Macaroni & Cheese,Signature SELECT Macaroni & Cheese 5.5 to 7.25 oz. Selected varieties. Mix or match any 4 or more. 99¢ ea.,3,food-like ad text with no watchlist match
Kraft Macaroni & Cheese,Kraft Macaroni & Cheese 5.5 to 7.25 oz. Selected varieties. Mix or match any 4 or more. $1.49 ea.,3,food-like ad text with no watchlist match
Velveeta Shells & Cheese,Velveeta Shells & Cheese or Kraft Deluxe Macaroni & Cheese 9.4 to 14 oz. $3.49 ea.,3,food-like ad text with no watchlist match
Kraft Deluxe Macaroni & Cheese,Velveeta Shells & Cheese or Kraft Deluxe Macaroni & Cheese 9.4 to 14 oz. $3.49 ea.,3,food-like ad text with no watchlist match
Oscar Mayer Beef Franks,Oscar Mayer Beef Franks 14 to 16 oz. $3.49 ea.,3,food-like ad text with no watchlist match
Oscar Mayer Natural Uncured Beef Franks,Oscar Mayer Natural Uncured Beef Franks 14 oz. $6.99 ea.,3,food-like ad text with no watchlist match
Oscar Mayer Natural Uncured Chicken Franks,Oscar Mayer Natural Uncured Chicken Franks 14 oz. Selected varieties. Mix or match any 4 or more. $4.99 ea.,3,food-like ad text with no watchlist match
Fresh Veggie Tray,Fresh Veggie Tray $6.99 ea,4,food-like ad text with no watchlist match
"Party Pack Chicken Fried, Baked","Party Pack Chicken Fried, Baked or Mango Habanero See Service Deli for full details 50 Piece $59.99 100 Piece $109.99 150 Piece $149.99",4,food-like ad text with no watchlist match
Mango Habanero,"Party Pack Chicken Fried, Baked or Mango Habanero See Service Deli for full details 50 Piece $59.99 100 Piece $109.99 150 Piece $149.99",4,food-like ad text with no watchlist match
Sabra Hummus,Sabra Hummus or The Laughing Cow Cheese 2/$5,4,food-like ad text with no watchlist match
The Laughing Cow Cheese,Sabra Hummus or The Laughing Cow Cheese 2/$5,4,food-like ad text with no watchlist match
Garlic Bread,Garlic Bread $3.99 ea,4,food-like ad text with no watchlist match
Cheesecake,Cheesecake or Strawberry Boston Cake $13.99 ea,4,food-like ad text with no watchlist match
Strawberry Boston Cake,Cheesecake or Strawberry Boston Cake $13.99 ea,4,food-like ad text with no watchlist match
Signature SELECT Angus Beef Burgers 4 ct,Signature SELECT Angus Beef Burgers 4 ct $8.99 ea,4,food-like ad text with no watchlist match
Large Red Seedless Grapes,Large Red Seedless Grapes $2.53 lb,5,food-like ad text with no watchlist match
Large Fuji Apples,Large Fuji Apples $1.49 lb,5,food-like ad text with no watchlist match
Beef Kabobs,Beef Kabobs $6.99 lb,5,food-like ad text with no watchlist match
USDA Choice Beef Loin T-Bone Steak,USDA Choice Beef Loin T-Bone Steak $5.99 lb,5,food-like ad text with no watchlist match
Fresh Wild Sockeye Salmon Fillets,Fresh Wild Sockeye Salmon Fillets $17.99 lb,5,food-like ad text with no watchlist match
Fresh Farm Raised Atlantic Salmon Fillets,Fresh Farm Raised Atlantic Salmon Fillets $14.99 lb,5,food-like ad text with no watchlist match
Medium Ripe Hass Avocados,Medium Ripe Hass Avocados or Large Mangos 5 for $5,5,food-like ad text with no watchlist match
Large Mangos,Medium Ripe Hass Avocados or Large Mangos 5 for $5,5,food-like ad text with no watchlist match
"Lay's Potato Chips, Doritos, Smartfood, Cheetos, PopCorners, Stacy's, Cape Cod, Kettle Brand, Snyder's of Hanover, Utz, Pirate's Booty, Angie's Boom Chicka Pop, SkinnyPop, Pop Secret, Orville Redenbacher's, Act II, Crunch 'n Munch, Planters, Blue Diamond, Wonderful Pistachios, Emerald, David Seeds, Jack Link's, Oberto, Slim Jim, Old Wisconsin, Duke's, Lorissa's Kitchen, Krave, Epic, Chomps, Stryve, Country Archer, Chef's Cut, Field Trip, Wild Zora, Vermont, Think Jerky, Perky Jerky, The New Primal, Brooklyn Biltong, Ayoba, Sogo Snacks, Nick's Sticks, People's Choice, Prevail Jerky, Righteous Felon, Baja Vida, Carnivore Candy, Cattleman's Cut, Country Archer Provisions, Duke's Shorty Sausages, Field Trip Jerky, Jack Link's Beef Jerky, Krave Jerky, Lorissa's Kitchen Jerky, Oberto Beef Jerky, Old Trapper, Pacific Gold, People's Choice Beef Jerky, Perky Jerky, Sogo Snacks Jerky, Think Jerky, Vermont Smoke & Cure, Wild Zora Jerky","Lay's Potato Chips, Doritos, Smartfood, Cheetos, PopCorners, Stacy's, Cape Cod, Kettle Brand, Snyder's of Hanover, Utz, Pirate's Booty, Angie's Boom Chicka Pop, SkinnyPop, Pop Secret, Orville Redenbacher's, Act II, Crunch 'n Munch, Planters, Blue Diamond, Wonderful Pistachios, Emerald, David Seeds, Jack Link's, Oberto, Slim Jim, Old Wisconsin, Duke's, Lorissa's Kitchen, Krave, Epic, Chomps, Stryve, Country Archer, Chef's Cut, Field Trip, Wild Zora, Vermont, Think Jerky, Perky Jerky, The New Primal, Brooklyn Biltong, Ayoba, Sogo Snacks, Nick's Sticks, People's Choice, Prevail Jerky, Righteous Felon, Baja Vida, Carnivore Candy, Cattleman's Cut, Country Archer Provisions, Duke's Shorty Sausages, Field Trip Jerky, Jack Link's Beef Jerky, Krave Jerky, Lorissa's Kitchen Jerky, Oberto Beef Jerky, Old Trapper, Pacific Gold, People's Choice Beef Jerky, Perky Jerky, Sogo Snacks Jerky, Think Jerky, Vermont Smoke & Cure, Wild Zora Jerky 2 for $5",5,food-like ad text with no watchlist match
