market,ad_week_start,ad_week_end,tracker_key,tracker_kind,canonical_product_id,family_key,display_name,brand,current_offer_text,current_price,current_package_size,current_unit,current_unit_price,historical_min_unit_price,historical_median_unit_price,historical_avg_unit_price,weeks_seen,rank_from_lowest,pct_above_historical_low,pct_below_median,historical_label,is_all_time_low,is_tied_all_time_low,is_near_low_5pct,last_seen_at_or_below_current_price,historical_low_offer_text,costco_match_name,costco_unit_price,percent_difference_vs_costco,summary_section,confidence,manual_review,manual_review_reason
bay_area,2026-07-01,2026-07-07,category_sweet_corn,category,,,Sweet Corn,,Sweet Corn,0.125,1 ea.,ear,0.125,0.3333,0.5,0.7706,6,1,-62.5,75.0,all-time low,True,False,True,,Sweet Corn,,,,All-time low Safeway buys,high,False,
bay_area,2026-07-01,2026-07-07,category_cherries,category,,,Cherries,,Red Cherries,1.99,,lb,1.99,2.99,5.99,5.3233,3,1,-33.44,66.78,all-time low,True,False,True,,Red Cherries,,,,All-time low Safeway buys,high,False,
bay_area,2026-07-01,2026-07-07,category_mayo,category,,,Mayonnaise,,Best Foods Mayonnaise,3.49,20-30 oz.,oz,0.1396,0.1596,0.1596,0.1946,4,1,-12.53,12.53,all-time low,True,False,True,,Best Foods Mayonnaise 20-30 oz.,,,,All-time low Safeway buys,high,False,
bay_area,2026-07-01,2026-07-07,category_salmon,category,,,Salmon Fillets,,Fresh Atlantic Salmon Portion,5.0,,lb,5.0,4.99,7.99,9.1567,6,2,0.2,37.42,tied all-time low,False,True,True,2026-04-01,Fresh Atlantic Salmon Portion,,,,All-time low Safeway buys,medium,False,
bay_area,2026-07-01,2026-07-07,category_ground_beef,category,,,Ground Beef,,Signature SELECT 80% Lean Ground Beef Mega Pack 6 lbs.,4.99,6 lbs. or more,lb,4.99,4.99,6.99,6.4186,7,1,0.0,28.61,tied all-time low,False,True,True,2026-03-25,Signature SELECT® 80% Lean Ground Beef Value Pack,,,,All-time low Safeway buys,high,False,
bay_area,2026-07-01,2026-07-07,category_pork_ribs,category,,,Pork / Beef Ribs,,"Signature SELECT Extra Meaty Pork Back Ribs, St. Louis Style Spareribs",3.99,VALUE PACK,lb,3.99,3.99,5.0,5.8514,7,1,0.0,20.2,tied all-time low,False,True,True,2026-06-10,Signature SELECT Pork Spareribs,,,,All-time low Safeway buys,high,False,
bay_area,2026-07-01,2026-07-07,strawberries,canonical,strawberries,,Strawberries,,USDA Organic Strawberries,4.99,,lb,4.99,4.99,4.995,4.995,4,1,0.0,0.1,tied all-time low,False,True,True,2026-06-03,Strawberries LARGE PACK,STRAWBERRIES 2 LBS,1.995,-150.13,All-time low Safeway buys,high,False,
bay_area,2026-07-01,2026-07-07,mission_tortilla_chips,canonical,mission_tortilla_chips,,Mission Tortilla Chips,,Mission Tortilla Chips 13 oz.,2.49,13 oz.,oz,0.1915,,,,0,,,,insufficient history,False,False,False,,,,,,"Good Safeway buy, no Costco comp",high,False,
bay_area,2026-07-01,2026-07-07,category_ribeye,category,,,Ribeye Steak,,"USDA Choice Beef Ribeye Steak, Bone-In",9.99,MEGA PACK,lb,9.99,7.99,7.99,7.99,1,,,,insufficient history,False,False,False,2026-04-01,USDA Choice Beef Ribeye Steak,,,,"Good Safeway buy, no Costco comp",high,False,
bay_area,2026-07-01,2026-07-07,category_cheez_it,category,,,Cheez-It Crackers,Cheez-It,Cheez-It Crackers 12-ct. Kellogg's Rice Krispies Treats,4.99,12-ct. 16-ct.,oz,0.3564,0.3705,0.3705,0.3705,1,,,,insufficient history,False,False,False,,"Cheez-It Crackers, Chex Mix, Bugles, Gardetto's, Nature Valley Crunchy Granola Bars, Fiber One Bars, Betty Crocker Fruit Snacks, Fruit by the Foot, Fruit Gushers, Fruit Roll-Ups, Mott's Fruit Flavored Snacks",,,,"Good Safeway buy, no Costco comp",high,False,
