market,ad_week_start,ad_week_end,tracker_key,tracker_kind,canonical_product_id,family_key,display_name,brand,current_offer_text,current_price,current_package_size,current_unit,current_unit_price,historical_min_unit_price,historical_median_unit_price,historical_avg_unit_price,weeks_seen,rank_from_lowest,pct_above_historical_low,pct_below_median,historical_label,is_all_time_low,is_tied_all_time_low,is_near_low_5pct,last_seen_at_or_below_current_price,historical_low_offer_text,costco_match_name,costco_unit_price,percent_difference_vs_costco,summary_section,confidence,manual_review,manual_review_reason
socal_oc,2026-07-01,2026-07-07,category_peaches_stone_fruit,category,,,Peaches / Nectarines / Plums,,"Yellow Peaches, White Peaches",1.99,,lb,1.99,1.99,2.49,2.49,2,1,0.0,20.08,tied all-time low,False,True,True,2026-06-17,Black Plums,,,,All-time low Vons buys,high,False,
socal_oc,2026-07-01,2026-07-07,category_ribeye,category,,,Ribeye Steak,,Ribeye Steak LIMIT 2 VALUE PACKS,7.99,LIMIT 2 VALUE PACKS,lb,7.99,7.99,8.77,9.9167,3,1,0.0,8.89,tied all-time low,False,True,True,2026-05-20,Ribeye Steak,,,,All-time low Vons buys,high,False,
socal_oc,2026-07-01,2026-07-07,category_sweet_corn,category,,,Sweet Corn,,Sweet Bi-Color Corn LOCAL!,1.0,5 for $1 LIMIT 10,ear,0.2,0.2,0.2,0.3867,5,1,0.0,0.0,tied all-time low,False,True,True,2026-06-17,Sweet Bi-color Corn,,,,All-time low Vons buys,high,False,
socal_oc,2026-07-01,2026-07-07,category_cherries,category,,,Cherries,,Large Cherries Northwest Grown,2.99,,lb,2.99,1.49,3.99,3.1567,3,2,100.67,25.06,historically good but not near low,False,False,False,2026-06-10,Red Cherries,,,,"Good Vons buy, no Costco comp",high,False,
socal_oc,2026-07-01,2026-07-07,category_salmon,category,,,Salmon Fillets,,Fresh Atlantic Salmon Fillets Farm Raised,7.97,,lb,7.97,5.0,8.99,8.188,5,2,59.4,11.35,historically good but not near low,False,False,False,2026-06-17,Fresh Atlantic Salmon Fillets Farm Raised,,,,"Good Vons buy, no Costco comp",high,False,
socal_oc,2026-07-01,2026-07-07,category_cantaloupe,category,,,Cantaloupe / Melons,,Dulcinea Farms Tuscan Style Cantaloupe,2.99,each,each,2.99,1.49,1.49,1.49,1,,,,insufficient history,False,False,False,2026-05-13,Fresh cut watermelon bowl,,,,"Good Vons buy, no Costco comp",medium,False,
socal_oc,2026-07-01,2026-07-07,category_tri_tip,category,,,Tri-Tip,,Tri-Tip Roast LIMIT 2 ROASTS,4.99,LIMIT 2 ROASTS,lb,4.99,,,,0,,,,insufficient history,False,False,False,,,,,,"Good Vons buy, no Costco comp",high,False,
socal_oc,2026-07-01,2026-07-07,category_pork_ribs,category,,,Pork / Beef Ribs,,Baby Back Pork Ribs,3.99,per lb,lb,3.99,1.99,3.99,4.74,4,2,100.5,0.0,not special historically,False,False,False,2026-06-17,Fresh Pork Spareribs Value Pack,,,,Manual review needed,high,False,
socal_oc,2026-07-01,2026-07-07,grapes,canonical,grapes,,Grapes,,Large Red Seedless Grapes,2.53,per lb,lb,2.53,1.97,2.235,2.6075,4,3,28.43,-13.2,not special historically,False,False,False,2026-06-17,Black Seedless Grapes,ORGANIC GREEN SEEDLESS GRAPES 3 LBS,2.6633,5.01,Costco still wins,high,False,
socal_oc,2026-07-01,2026-07-07,avocados,canonical,avocados,,Hass Avocados,,Medium Ripe Hass Avocados,5.0,,each,1.0,0.99,1.245,1.245,2,,,,insufficient history,False,False,False,2026-05-13,Medium Ripe Avocados,AVOCADOS HASS VARIETY 6 COUNT,1.3317,-275.46,Manual review needed,medium,True,multi-product offer; broad grouped offer
